date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,1350.61725807,445.4313
1961-12-31,1411.6720692471,459.5891,4.3218
1962-12-31,1514.8477890903,484.8194,5.4818
1963-12-31,1637.1350084351,513.2639,5.3356
1964-12-31,1796.240206527,551.8156,6.7105
1965-12-31,1955.9404564617,588.7757,5.4829
1966-12-31,2120.4097509933,625.1028,5.7495
1967-12-31,2264.1350717716,654.0681,4.537
1968-12-31,2442.4755850067,691.3744,6.3351
1969-12-31,2691.3036411317,746.2259,6.1275
1970-12-31,2519.2828236299,684.2203,3.5499
1971-12-31,2768.6289098727,736.2363,4.3412
1972-12-31,3169.1530237028,825.9669,5.7607
1973-12-31,3800.3128312262,971.2057,6.554
1974-12-31,4374.3712233544,1096.7494,1.9406
1975-12-31,4809.9578729686,1183.9876,0.7146
1976-12-31,5282.1749039563,1277.2969,5.3848
1977-12-31,5963.8766248737,1417.343,4.0053
1978-12-31,6963.2232764957,1626.4124,3.9459
1979-12-31,7999.8737917379,1836.1902,4.1581
1980-12-31,9036.2793304153,2038.4285,1.8631
1981-12-31,9746.6335665909,2160.5584,1.87
1982-12-31,9680.2182583158,2107.8837,0.5322
1983-12-31,10094.369228929,2159.5327,2.4029
1984-12-31,10604.005398362,2229.6074,4.4715
1985-12-31,11184.984513938,2311.3404,3.6767
1986-12-31,12781.070650439,2595.2741,3.4304
1987-12-31,14256.328069836,2844.1233,3.6852
1988-12-31,15997.854975861,3136.0425,4.6298
1989-12-31,16766.164902929,3230.4892,3.7266
1990-12-31,18384.594517292,3481.9004,2.9784
1991-12-31,19400.509177269,3614.0099,1.5086
1992-12-31,20451.91202351,3750.8712,1.7768
1993-12-31,21402.622127903,3864.7643,1.492
1994-12-31,23088.167537974,4106.6907,2.9467
1995-12-31,25499.685934834,4468.3346,3.0206
1996-12-31,26067.773101884,4502.4739,3.4295
1997-12-31,26459.045619584,4505.7483,3.7044
1998-12-31,26232.149614723,4405.7984,2.5584
1999-12-31,32454.854930113,5378.2252,3.2477
2000-12-31,33554.785515668,5487.8902,4.4242
2001-12-31,33467.674999945,5403.5274,1.9511
2002-12-31,34766.744080815,5542.5017,2.1664
2003-12-31,38963.073636381,6134.0987,2.9464
2004-12-31,43889.515041877,6824.0942,4.4063
2005-12-31,47523.443364049,7298.1082,3.8967
2006-12-31,51511.933381578,7813.4396,4.3651
2007-12-31,58042.251337854,8696.5058,4.3159
2008-12-31,63704.134232859,9427.8434,1.8595
2009-12-31,60464.755720908,8840.4269,-1.6589
2010-12-31,66142.487741577,9555.571,4.31
2011-12-31,73482.418878129,10493.1699,3.1246
2012-12-31,75154.427433902,10606.3576,2.5187
2013-12-31,77315.491890115,10783.6812,2.671
2014-12-31,79446.77087268,10951.6906,2.8734
2015-12-31,75233.025087097,10251.0205,2.9198
2016-12-31,76429.054392645,10294.1897,2.6053
2017-12-31,81359.536181832,10834.3443,3.2802
2018-12-31,86347.154919772,11372.7273,3.0333
2019-12-31,87607.919950618,11417.1741,2.3337
2020-12-31,84705.56711537,10925.7461,-3.5953
