date, Inflation Rate (%), Annual Change, 
1981-12-31,12.663
1982-12-31,10.2956,-2.37
1983-12-31,9.1142,-1.18
1984-12-31,8.3189,-0.8
1985-12-31,7.0984,-1.22
1986-12-31,5.994,-1.1
1987-12-31,6.0626,0.07
1988-12-31,7.1715,1.11
1989-12-31,7.5339,0.36
1990-12-31,8.4515,0.92
1991-12-31,8.9969,0.55
1992-12-31,7.8255,-1.17
1993-12-31,7.1446,-0.68
1994-12-31,10.5644,3.42
1995-12-31,9.2506,-1.31
1996-12-31,6.6782,-2.57
1997-12-31,5.5541,-1.12
1998-12-31,5.0973,-0.46
1999-12-31,3.264,-1.83
2000-12-31,3.5554,0.29
2001-12-31,3.9196,0.36
2002-12-31,3.0294,-0.89
2003-12-31,3.0206,-0.01
2004-12-31,3.3826,0.36
2005-12-31,4.1122,0.73
2006-12-31,4.2824,0.17
2007-12-31,4.8168,0.53
2008-12-31,8.953,4.14
2009-12-31,2.9209,-6.03
2010-12-31,3.339,0.42
2011-12-31,4.8224,1.48
2012-12-31,3.7253,-1.1
2013-12-31,2.6058,-1.12
2014-12-31,2.3463,-0.26
2015-12-31,1.4343,-0.91
2016-12-31,1.4946,0.06
2017-12-31,2.1827,0.69
2018-12-31,2.4213,0.24
2019-12-31,2.1524,-0.27
2020-12-31,1.9386,-0.21
